      Step     Time          Energy          fmax
FIRE:    0 04:19:18       -3.337721        0.167487
FIRE:    1 04:19:18       -3.338278        0.164735
FIRE:    2 04:19:18       -3.339354        0.159314
FIRE:    3 04:19:19       -3.340881        0.151402
FIRE:    4 04:19:19       -3.342758        0.141275
FIRE:    5 04:19:19       -3.344869        0.129338
FIRE:    6 04:19:19       -3.347084        0.116163
FIRE:    7 04:19:19       -3.349277        0.102559
FIRE:    8 04:19:19       -3.351540        0.088387
      Step     Time          Energy          fmax
FIRE:    0 04:29:50       -3.347099        0.146843
FIRE:    1 04:29:50       -3.347526        0.143854
FIRE:    2 04:29:51       -3.348345        0.137987
FIRE:    3 04:29:51       -3.349491        0.129469
FIRE:    4 04:29:51       -3.350872        0.118656
FIRE:    5 04:29:51       -3.352384        0.106057
FIRE:    6 04:29:51       -3.353914        0.092398
      Step     Time          Energy          fmax
FIRE:    0 04:40:05       -5.696138        0.375480
FIRE:    1 04:40:05       -5.700587        0.375051
FIRE:    2 04:40:05       -5.709159        0.373092
FIRE:    3 04:40:05       -5.721258        0.367627
FIRE:    4 04:40:05       -5.735638        0.355056
FIRE:    5 04:40:05       -5.750826        0.332729
FIRE:    6 04:40:05       -5.765282        0.297495
FIRE:    7 04:40:05       -5.777629        0.251324
FIRE:    8 04:40:05       -5.787933        0.193170
FIRE:    9 04:40:06       -5.794822        0.209552
FIRE:   10 04:40:06       -5.798212        0.241017
FIRE:   11 04:40:06       -5.798775        0.235369
FIRE:   12 04:40:06       -5.799845        0.224385
FIRE:   13 04:40:06       -5.801330        0.208678
FIRE:   14 04:40:06       -5.803091        0.188966
FIRE:   15 04:40:06       -5.804985        0.166233
FIRE:   16 04:40:06       -5.806873        0.141456
FIRE:   17 04:40:06       -5.808611        0.116052
FIRE:   18 04:40:06       -5.810267        0.089193
      Step     Time          Energy          fmax
FIRE:    0 04:55:43       -3.698465        1.869972
FIRE:    1 04:55:43       -3.736101        0.270108
FIRE:    2 04:55:43       -3.710749        1.622532
FIRE:    3 04:55:43       -3.722450        1.257351
FIRE:    4 04:55:43       -3.735858        0.601665
FIRE:    5 04:55:43       -3.739597        0.265987
FIRE:    6 04:55:43       -3.739774        0.259711
FIRE:    7 04:55:43       -3.739851        0.246177
FIRE:    8 04:55:43       -3.740225        0.230101
FIRE:    9 04:55:44       -3.740337        0.212752
FIRE:   10 04:55:44       -3.740634        0.197894
FIRE:   11 04:55:44       -3.741069        0.190235
FIRE:   12 04:55:44       -3.741398        0.189657
FIRE:   13 04:55:44       -3.741794        0.194957
FIRE:   14 04:55:44       -3.742267        0.202486
FIRE:   15 04:55:44       -3.742744        0.206908
FIRE:   16 04:55:44       -3.743616        0.202872
FIRE:   17 04:55:44       -3.744613        0.191338
FIRE:   18 04:55:44       -3.745978        0.180544
FIRE:   19 04:55:45       -3.747302        0.184634
FIRE:   20 04:55:45       -3.748842        0.193821
FIRE:   21 04:55:45       -3.751054        0.190832
FIRE:   22 04:55:45       -3.753574        0.178469
FIRE:   23 04:55:45       -3.756618        0.186758
FIRE:   24 04:55:45       -3.760534        0.193373
FIRE:   25 04:55:45       -3.765460        0.186585
FIRE:   26 04:55:45       -3.771383        0.205439
FIRE:   27 04:55:45       -3.778987        0.200356
FIRE:   28 04:55:45       -3.789198        0.239629
FIRE:   29 04:55:46       -3.803219        0.245479
FIRE:   30 04:55:46       -3.817412        0.171349
FIRE:   31 04:55:46       -3.796958        0.837237
FIRE:   32 04:55:46       -3.804305        0.640471
FIRE:   33 04:55:46       -3.812455        0.407605
FIRE:   34 04:55:46       -3.817556        0.285008
FIRE:   35 04:55:46       -3.818201        0.153876
FIRE:   36 04:55:46       -3.818647        0.147996
FIRE:   37 04:55:46       -3.818758        0.133320
FIRE:   38 04:55:46       -3.818730        0.115263
FIRE:   39 04:55:47       -3.819212        0.099620
      Step     Time          Energy          fmax
FIRE:    0 13:55:07       -2.309365        1.200150
FIRE:    1 13:55:07       -2.336045        0.989223
FIRE:    2 13:55:07       -2.370531        0.682834
FIRE:    3 13:55:07       -2.396739        0.540599
FIRE:    4 13:55:07       -2.410701        0.619263
FIRE:    5 13:55:08       -2.419656        0.639698
FIRE:    6 13:55:08       -2.421426        0.600355
FIRE:    7 13:55:08       -2.424843        0.521102
FIRE:    8 13:55:08       -2.428982        0.402066
FIRE:    9 13:55:08       -2.432508        0.247917
FIRE:   10 13:55:08       -2.434426        0.079023
      Step     Time          Energy          fmax
FIRE:    0 14:07:52       -3.069301        0.664787
FIRE:    1 14:07:52       -3.077383        0.532190
FIRE:    2 14:07:52       -3.086692        0.327440
FIRE:    3 14:07:52       -3.091419        0.209981
FIRE:    4 14:07:52       -3.088902        0.337202
FIRE:    5 14:07:52       -3.089808        0.316297
FIRE:    6 14:07:52       -3.090386        0.272583
